2021-05-16 07:30:50,"b'RT @G_stordalen: Great interview by chair of @FoodSystems summit  Science Group Prof @joachimvonbraun, calling for transforming agri subsid\xe2\x80\xa6'"
2021-05-16 07:30:40,"b'I have healthy food, and I also have cake. Birthday cake. Can my birthday really be over until I finish the cake'"
2021-05-16 07:30:12,"b'RT @RubinaDilaik_: Good morning #Rubiholics \xf0\x9f\x92\x9c\n\nThere is no shortcuts. Work hard, be patient, consistent and never give up \xe2\x9c\x8c\xef\xb8\x8f\n\nDon\xe2\x80\x99t forget\xe2\x80\xa6'"
2021-05-16 07:30:00,b'Eating healthy actually isn\xe2\x80\x99t bad... you gotta get all that trash food out ya house tho and put healthy shit in the\xe2\x80\xa6 https://t.co/R8nX3iT1qb'
2021-05-16 07:29:43,b'@falconnestorg A single healthy salmon run would provide more food than all those dumbass farmers could even hope t\xe2\x80\xa6 https://t.co/Y6Kp0U5qiJ'
2021-05-16 07:29:30,b'RT @pank_10: @TheMaxProtein My promise to Mom\n#MaaKasam stop eating junk food and Eat healthy \xf0\x9f\x98\x8b\nMother promise mom\n#MaxProtein #HappyMother\xe2\x80\xa6'
2021-05-16 07:29:09,"b""RT @KBSWorldTV: [Star's Top Recipe at Fun-Staurant] Realizing children are picky with their food, #RyuSooYoung creates a healthy soybean re\xe2\x80\xa6"""
2021-05-16 07:28:27,b'RT @DrSandeepJSP: Most common advice we hear to fight against #COVID is Eat Healthy Food!\nWhat exactly is healthy food which helps u fight\xe2\x80\xa6'
2021-05-16 07:28:01,b'RT @EllaLanguage: Describing FOOD\n\n\xf0\x9f\x8d\xb1 tasty\n\xf0\x9f\x8d\xb1 spicy\n\xf0\x9f\x8d\xb1 simple\n\xf0\x9f\x8d\xb1 healthy\n\xf0\x9f\x8d\xb1 savoury\n\xf0\x9f\x8d\xb1 gourmet\n\xf0\x9f\x8d\xb1 delicious\n\xf0\x9f\x8d\xb1 excellent\n\xf0\x9f\x8d\xb1 nutritious\n\xf0\x9f\x8d\xb1 unhealthy\xe2\x80\xa6'
2021-05-16 07:27:58,b'Nutrients | Free Full-Text | Food Components and Dietary Habits: Keys for a Healthy Gut Microbiota Composition | HT\xe2\x80\xa6 https://t.co/yGYy0s39NL'
2021-05-16 07:27:39,b'RT @SamanthaHoeanne: @cyaacoco @stevieanderson7 They would subsidize fruits and vegetables instead of corn and corn products. They would in\xe2\x80\xa6'
2021-05-16 07:27:20,"b'very relevant to bring up, as no scenarios had ever called for it. \n\nWith that, Saya also looked at the menu. Her c\xe2\x80\xa6 https://t.co/m4DeYtBJV3'"
2021-05-16 07:27:10,b'RT @macd5007: Mr Rodgers - #art #sketch #drawing #doodle #cartoon #comics #funny #humor #love #relationship\xe2\x80\xa6 https://t.co/vHFPNqj25Q'
2021-05-16 07:25:38,"b'RT @MelRam_01: @wathanyalak2456 He showed us moves to keep our tummies in shape before filling up on food, His menu for the day is also a h\xe2\x80\xa6'"
2021-05-16 07:25:32,"b""@LisaMcK57435437 @M4ttmc87 Indeed. Last few months there's been promotions for free doughnuts, beers or fast-food w\xe2\x80\xa6 https://t.co/BWyMIP0VnD"""
2021-05-16 07:25:27,b'RT @MarcosGymSpa1: Daily tip to help you achieve this.\n\xe2\x9c\x8d\xef\xb8\x8fHealthy eating is easy when you are surrounded by healthy food. https://t.co/PTGJQ\xe2\x80\xa6'
2021-05-16 07:25:21,b'Welcome back. Hope you are fully out of the Corona rut.\n\nAll our sincere prayers have been answered by the Almighty\xe2\x80\xa6 https://t.co/2KujEq3Ple'
2021-05-16 07:24:44,b'Daily tip to help you achieve this.\n\xe2\x9c\x8d\xef\xb8\x8fHealthy eating is easy when you are surrounded by healthy food. https://t.co/PTGJQUKCtI'
2021-05-16 07:23:44,"b'RT @FreedomNFitness: I do \xe2\x80\x9cweird\xe2\x80\x9d stuff like fast, not eat processed food, grounding, cold plunge, and sauna. \n\nI get told that by someone\xe2\x80\xa6'"
2021-05-16 07:23:18,b'RT @DrSandeepJSP: Most common advice we hear to fight against #COVID is Eat Healthy Food!\nWhat exactly is healthy food which helps u fight\xe2\x80\xa6'
2021-05-16 07:23:01,"b""If we want to follow google, every food is bad. Your smoothie isn't as healthy as you think. Workouts have unwanted\xe2\x80\xa6 https://t.co/sA9FLP7OXQ"""
2021-05-16 07:22:33,b'RT @Abbi_Kate_: Something that\xe2\x80\x99s been bothering me lately is vitamins/ probiotics and disadvantaged peoples access to them. How are low inc\xe2\x80\xa6'
